Source,Relation,Word,WordNet Definition,Wikitionary Definition,Oxford Definition
speed,has_attribute,fast,acting or moving or capable of acting or moving quickly,"Moving with great speed, or capable of doing so; swift, rapid.",taking place at high speed; taking a short time
fast,similar_tos,Synset('accelerated.s.01'),"speeded up, as of an academic course",,
fast,similar_tos,Synset('alacritous.s.01'),quick and eager,"Brisk, speedy, with alacrity, quick and eager.",brisk or lively
fast,similar_tos,Synset('blistering.s.03'),very fast; capable of quick response and great speed,Very fast,(of criticism) expressed with great vehemence
Synset('blistering.s.03'),has_lemma,hot,very fast; capable of quick response and great speed,"Of the weather, causing the air to be hot.",having a high degree of heat or a high temperature
Synset('blistering.s.03'),has_lemma,red-hot,very fast; capable of quick response and great speed,Heated to the point that it glows with a visible red color.,so hot as to glow red
fast,similar_tos,Synset('double-quick.s.01'),(of a marching cadence) very quick,,
fast,similar_tos,Synset('express.s.02'),without unnecessary stops,"Moving or operating quickly, as a train not making local stops.",(of a train or other form of public transport) making few intermediate stops and reaching its destination quickly
fast,similar_tos,Synset('fast-breaking.s.01'),occurring rapidly as a series of events in rapid succession,,
fast,similar_tos,Synset('fast-paced.s.01'),of communication that proceeds rapidly,Moving or changing rapidly.,(of a narrative or series of events) moving or developing very quickly
fast,similar_tos,Synset('fleet.s.01'),moving very fast,Swift in motion; moving with velocity; light and quick in going from place to place; nimble; fast.,fast and nimble in movement
Synset('fleet.s.01'),has_lemma,swift,moving very fast,Capable of moving at high speeds.,moving or capable of moving at high speed
fast,similar_tos,Synset('high-speed.s.01'),operating at high speed,"That operates, moves or takes place at a greater than normal speed.",(of photographic film) needing little light or only short exposure.
Synset('high-speed.s.01'),has_lemma,high-velocity,operating at high speed,,denoting or relating to a gun capable of discharging a projectile with great force and speed
fast,similar_tos,Synset('hurrying.s.01'),moving with great haste,,
Synset('hurrying.s.01'),has_lemma,scurrying,moving with great haste,,
fast,similar_tos,Synset('immediate.s.05'),performed with little or no delay,"happening right away, instantly, with no delay",occurring or done at once; instant
Synset('immediate.s.05'),has_lemma,prompt,performed with little or no delay,"Ready, willing (to act).",(of goods) for immediate delivery and payment.
Synset('immediate.s.05'),has_lemma,quick,performed with little or no delay,"Moving with speed, rapidity or swiftness, or capable of doing so; rapid; fast.",happening with little or no delay; prompt
Synset('immediate.s.05'),has_lemma,straightaway,performed with little or no delay,extending into the distance in a straight line.,extending or moving in a straight line
fast,similar_tos,Synset('instantaneous.s.01'),occurring with no delay,"Occurring, arising, or functioning without any delay; happening within an imperceptibly brief period of time.",occurring or done instantly
Synset('instantaneous.s.01'),has_lemma,instant,occurring with no delay,Occurring immediately; immediate; present.,prepared quickly and with little effort
fast,similar_tos,Synset('meteoric.s.03'),like a meteor in speed or brilliance or transience,"Like a meteor in speed, brilliance, or ephemeralness.",(of the development of something) very rapid
fast,similar_tos,Synset('quick.s.01'),accomplished rapidly and without delay,"Moving with speed, rapidity or swiftness, or capable of doing so; rapid; fast.",happening with little or no delay; prompt
