Source,Relation,Word,WordNet Definition,Wikitionary Definition,Oxford Definition
happiness,has_attribute,happy,enjoying or showing or marked by joy or pleasure,"Experiencing the effect of favourable fortune; having the feeling arising from the consciousness of well-being or of enjoyment; enjoying good of any kind, as peace, tranquillity, comfort; contented; joyous.",
happy,similar_tos,blessed,characterized by happiness and good fortune,"Having divine aid, or protection, or other blessing.",
happy,similar_tos,blissful,completely happy and contented,"Extremely happy; full of joy; experiencing, indicating, causing, or characterized by bliss.",
happy,similar_tos,bright,characterized by happiness or gladness,"Visually dazzling; luminous, lucent, clear, radiant; not dark.",
happy,similar_tos,golden,marked by peace and prosperity,"Made of, or relating to, gold.",
golden,has_lemma,halcyon,marked by peace and prosperity,Pertaining to the halcyon or kingfisher,
golden,has_lemma,prosperous,marked by peace and prosperity,characterized by success,
happy,similar_tos,laughing,showing or feeling mirth or pleasure or happiness,,
laughing,has_lemma,riant,showing or feeling mirth or pleasure or happiness,"When said of place, landscape or view: having a pleasant appearance, looking bright or cheerful.",
happiness,has_attribute,unhappy,experiencing or marked by or causing sadness or sorrow or discontent,Not happy; sad.,
unhappy,similar_tos,lovesick,languishing because of love,"Behaving oddly, or as though in distress, due to being overcome by feelings of love.",
unhappy,similar_tos,miserable,very unhappy; full of misery,"In a state of misery: very sad, ill, or poor.",
miserable,has_lemma,suffering,very unhappy; full of misery,Experiencing pain.,
miserable,has_lemma,wretched,very unhappy; full of misery,"Very miserable; sunk in, or accompanied by, deep affliction or distress, as from want, anxiety, or grief; calamitous; woeful; very afflicting.",
