Source,Relation,Word,WordNet Definition,Wiktionary Definition,Oxford Definition
sorrowful,similar to,anguished,experiencing intense pain especially mental pain,Feeling anguish; experiencing extreme discomfort or discontent.,Experiencing or expressing severe mental or physical pain or suffering.
cheerful,similar to,beaming,cheerful and bright,Smilingly happy; showing happy emotion.,Smiling broadly; grinning.
joyful,similar to,beatific,experiencing or bestowing celestial joy,"blessed, blissful, heavenly",Blissfully happy.
sorrowful,similar to,bereaved,sorrowful through loss or deprivation,having suffered the death of a loved one,-
sorrowful,similar to,bereft.02,sorrowful through loss or deprivation,(of a person) Pained by the loss of someone.,"(of a person) lonely and abandoned, especially through someone's death or departure."
sorrowful,similar to,bitter.04,expressive of severe grief or regret,Cynical and resentful.,"(of people or their feelings or behavior) angry, hurt, or resentful because of one's bad experiences or a sense of unjust treatment."
sad,similar to,bittersweet,tinged with sadness,Expressing contrasting emotions of pain and pleasure.,Arousing pleasure tinged with sadness or pain.
happy,similar to,blessed,characterized by happiness and good fortune,?,Bringing pleasure or relief as a welcome contrast to what one has previously experienced.
happy,similar to,blissful,completely happy and contented,"Extremely happy; full of joy; experiencing, indicating, causing, or characterized by bliss.",Extremely happy; full of joy.
cheerful,similar to,blithesome,carefree and happy and lighthearted,"happy or spriteful, carefree",(of a person) having a cheerful disposition.
dejected,similar to,blue.03,filled with melancholy and despondency,"(informal) Depressed, melancholic, sad.","(of a person or mood) melancholy, sad, or depressed."
happy,similar to,bright.09,characterized by happiness or gladness,"Happy, in good spirits. ",Giving an appearance of cheerful liveliness.
sorrowful,similar to,brokenhearted,full of sorrow,"Grieved and disappointed, especially with the loss of a beloved person or thing, such as the repudiation of a romantic relationship.",Overwhelmed by grief or disappointment.
cheerful,similar to,buoyant.02,characterized by liveliness and lightheartedness,lighthearted and lively,Cheerful and optimistic.
dejected,similar to,chapfallen,brought low in spirit,"crestfallen, dejected",With one's lower jaw hanging due to extreme exhaustion or dejection.
happy,see also,cheerful,being full of or promoting cheer; having or showing good spirits,Noticeably happy and optimistic.,Noticeably happy and optimistic.
unhappy,see also,cheerless,causing sad feelings of gloom and inadequacy,devoid of cheer; gloomy,Gloomy; depressing.
cheerful,similar to,cheery,bright and pleasant; promoting a feeling of cheer,"(often sarcastic) In a good mood, happy, cheerful.",Happy and optimistic.
cheerful,similar to,chipper,"having a cheerful, lively, and self-confident air","Exhibiting a lively optimism; in high spirits, cheerful.",Cheerful and lively.
cheerful,similar to,chirpy.02,characterized by liveliness and lightheartedness,In a good mood; happy and energetic.,Cheerful and lively.
dejected,similar to,chopfallen,brought low in spirit,chapfallen,With one's lower jaw hanging due to extreme exhaustion or dejection.
happy,see also,content,satisfied or showing satisfaction with things as they are,"Satisfied about a particular circumstance; thus, in a state of satisfaction.",In a state of peaceful happiness.
happy,see also,contented,satisfied or showing satisfaction with things as they are,Satisfied.,Feeling or expressing happiness or satisfaction.
dejected,similar to,crestfallen,brought low in spirit,Sad because of a recent disappointment.,Sad and disappointed.
"depressing, cheerless, uncheerful",similar to,dark.09,causing dejection,Conducive to hopelessness; depressing or bleak.,(of a period or situation) characterized by great unhappiness or unpleasantness.
cheerful,similar to,debonair.02,"having a cheerful, lively, and self-confident air","(especially of men) Charming, confident and carefully dressed.","(of a man) confident, stylish, and charming."
cheerful,similar to,debonaire.02,"having a cheerful, lively, and self-confident air","(especially of men) Charming, confident and carefully dressed.",-
dejected,similar to,deflated,brought low in spirit,simple past tense and past participle of deflate,Make (someone) suddenly lose confidence or feel dispirited.
elated,antonym,dejected,affected or marked by low spirits,Sad and dispirited,Sad and depressed; dispirited.
unhappy,see also,dejected,affected or marked by low spirits,Sad and dispirited,Sad and depressed; dispirited.
dejected,similar to,depressed.03,filled with melancholy and despondency,"unhappy, and blaming oneself rather than others; despondent",(of a person) in a state of unhappiness or despondency.
cheerful,antonym,depressing,causing sad feelings of gloom and inadequacy,Causing depression or sadness.,Causing or resulting in a feeling of miserable dejection.
unhappy,see also,depressing,causing sad feelings of gloom and inadequacy,Causing depression or sadness.,Causing or resulting in a feeling of miserable dejection.
"depressing, cheerless, uncheerful",similar to,dingy.03,causing dejection,"
(Incorrect?) drab; shabby; dirty; squalid",Gloomy and drab.
"discontented, discontent",similar to,disaffected,discontented as toward authority,"Alienated or estranged, often with hostile effect; rebellious, resentful; disloyal.","Dissatisfied, especially with people in authority or a system of control."
"depressing, cheerless, uncheerful",similar to,disconsolate.02,causing dejection,"Cheerless, dreary.",Very unhappy and unable to be comforted.
unhappy,see also,discontent,showing or experiencing dissatisfaction or restless longing,Dissatisfaction.,Dissatisfaction with one's circumstances; lack of contentment.
"contended, content",antonym,discontented,showing or experiencing dissatisfaction or restless longing,"Experiencing discontent, dissatisfaction.","Dissatisfied, especially with one's circumstances."
"discontented, discontent",similar to,disgruntled,in a state of sulky dissatisfaction,Unhappy; dissatisfied,Angry or dissatisfied.
"depressing, cheerless, uncheerful",similar to,dismal,causing dejection,"Sense 2: Gloomy and bleak.
Sense 3: Depressing",Causing a mood of gloom or depression.
dejected,similar to,dispirited.02,filled with melancholy and despondency,"Without energy, gusto or drive, enervated, without the will to accomplish, disheartened.",Having lost enthusiasm and hope; disheartened.
"discontented, discontent",see also,displeased,not pleased; experiencing or manifesting displeasure,not pleased or happy with something.,Feeling or showing annoyance and displeasure.
"discontented, discontent",similar to,dissatisfied,in a state of sulky dissatisfaction,Feeling or displaying disappointment or a lack of contentment.,Not content or happy with something.
unhappy,see also,distressed.02,generalized feeling of distress,anxious or uneasy,"Suffering from extreme anxiety, sorrow, or pain."
sad,similar to,doleful,filled with or evoking sadness,"Filled with grief, mournful, bringing feelings of sadness.",Expressing sorrow; mournful.
sorrowful,similar to,dolorous,showing sorrow,Solemnly or ponderously sad.,Feeling or expressing great sorrow or distress.
sorrowful,similar to,dolourous,showing sorrow,Solemnly or ponderously sad.,-
dejected,similar to,down in the mouth,filled with melancholy and despondency,"(idiomatic) Sad or discouraged, especially as indicated by one's facial appearance.",Unhappy; dejected.
dejected,similar to,down.09,filled with melancholy and despondency,"Depressed, feeling low.",Unhappy; depressed.
dejected,similar to,downcast.02,filled with melancholy and despondency,(of a person) Feeling despondent.,(of a person) feeling despondent.
dejected,similar to,downhearted,filled with melancholy and despondency,"sad, discouraged, in low spirits, unhappy, having no hope",Discouraged; in low spirits.
"depressing, cheerless, uncheerful",similar to,drab.04,causing dejection,"(?) Dull, uninteresting, particularly of colour.",(?) Lacking brightness or interest; drearily dull.
"depressing, cheerless, uncheerful",similar to,dreary.02,causing dejection,"Drab; dark, colorless, or cheerless.",Depressingly dull and bleak or repetitive.
euphoric,antonym,dysphoric,generalized feeling of distress,"pertaining to dysphoria, or of being in a state of dysphoria",See dysphoria: A state of unease or generalized dissatisfaction with life.
joyous,similar to,ecstatic,feeling great rapture or delight,"Sense 1: Feeling or characterized by ecstasy.
Sense 2: Extremely happy",Feeling or expressing overwhelming happiness or joyful excitement.
happy,see also,elated,exultantly proud and joyful; in high spirits,Extremely happy and excited; delighted; pleased.,In high spirits; exultant or proud.
sorrowful,similar to,elegiac.02,expressing sorrow often for something past,Expressing sorrow or mourning.,Wistfully mournful.
joyous,similar to,enraptured,feeling great rapture or delight,Marked by fondness; filled with delight,(Verb def enrapture) Give intense pleasure or joy to.
euphoric,similar to,euphoriant,tending to produce euphoria,Producing euphoria.,(chiefly of a drug) producing a feeling of euphoria.
happy,see also,euphoric,exaggerated feeling of well-being or elation,Feeling great well-being or elation or intense happiness; characterized by euphoria.,Characterized by or feeling intense excitement and happiness.
elated,similar to,exhilarated,made joyful,simple past tense and past participle of exhilarate,"Make (someone) feel very happy, animated, or elated."
euphoric,similar to,expansive.03,marked by exaggerated feelings of euphoria and delusions of grandeur,Talkative and sociable.,(of a person or their manner) relaxed and genially frank and communicative.
elated,similar to,exultant,joyful and proud especially because of triumph or success,"Very happy, especially at someone else's defeat or failure.",Triumphantly happy.
elated,similar to,exulting,joyful and proud especially because of triumph or success,Showing exultation.,Show or feel triumphant elation or jubilation.
joyous,similar to,festal,offering fun and gaiety,"festive, relating to a festival or feast",Relating to or characteristic of a celebration or festival.
joyous,similar to,festive,offering fun and gaiety,In the mood to celebrate.,Cheerful and jovially celebratory.
joyless,similar to,funereal,suited to or suggestive of a grave or burial,Of or relating to a funeral,"Having the mournful, sombre character appropriate to a funeral."
cheerful,similar to,gay,bright and pleasant; promoting a feeling of cheer,"(dated) Festive, bright, or colourful.",Brightly coloured; showy.
joyous,similar to,gay.02,full of or showing high-spirited merriment,"(dated) Happy, joyful, and lively.",Light-hearted and carefree.
joyous,similar to,gay.05,offering fun and gaiety,"(dated) Happy, joyful, and lively.",Light-hearted and carefree.
cheerful,see also,glad.01,showing or causing joy and pleasure; especially made happy,"Pleased, happy, gratified.",Feeling pleasure or happiness.
cheerful,similar to,glad.04,cheerful and bright,(obsolete) Having a bright or cheerful appearance; expressing or exciting joy; producing gladness.,-
elated,similar to,gladdened,made joyful,simple past tense and past participle of gladden,Make glad
glad,similar to,gladsome,experiencing or expressing gladness or joy,"Marked by joy or gladness; happy, joyous, or light-hearted.",(of a person) having a cheerful disposition.
joyous,similar to,gleeful,full of high-spirited delight,Exuberantly or triumphantly joyful.,Exuberantly or triumphantly joyful.
