Word,Variable,Factor,Definition,Deduced
beaming,cheerful,1,cheerful and bright,
cheerful,beaming,1.0,cheerful and bright,Yes
beaming,happy,1,smilingly happy,
happy,beaming,1.0,smilingly happy,Yes
beaming,happy,1,showing happy emotion.,
happy,beaming,1.0,showing happy emotion.,Yes
beatific,high_prop,1,experiencing or bestowing celestial joy,
high_prop,beatific,1.0,experiencing or bestowing celestial joy,Yes
beatific,blissful,1,"blessed, blissful, heavenly",
blissful,beatific,1.0,"blessed, blissful, heavenly",Yes
beatific,blissful,1,blissfully happy.,
blissful,beatific,1.0,blissfully happy.,Yes
beatific,happy,1,blissfully happy.,
happy,beatific,1.0,blissfully happy.,Yes
blessed,high_prop,1,characterized by happiness and good fortune,
high_prop,blessed,1.0,characterized by happiness and good fortune,Yes
blissful,happy,1.4,completely happy and contented,
happy,blissful,0.7142857142857143,completely happy and contented,Yes
blissful,content,1,completely happy and contented,
content,blissful,1.0,completely happy and contented,Yes
blissful,contented,1,completely happy and contented,
contented,blissful,1.0,completely happy and contented,Yes
blissful,happy,1.4,extremely happy,
happy,blissful,0.7142857142857143,extremely happy,Yes
blissful,high_prop,1,full of joy,
high_prop,blissful,1.0,full of joy,Yes
blissful,happy,1.4,extremely happy,
happy,blissful,0.7142857142857143,extremely happy,Yes
blithesome,happy,1,carefree and happy and lighthearted,
happy,blithesome,1.0,carefree and happy and lighthearted,Yes
blithesome,lighthearted,1,carefree and happy and lighthearted,
lighthearted,blithesome,1.0,carefree and happy and lighthearted,Yes
blithesome,happy,1,"happy or spriteful, carefree",
happy,blithesome,1.0,"happy or spriteful, carefree",Yes
blithesome,cheerful,1,(of a person) having a cheerful disposition.,
cheerful,blithesome,1.0,(of a person) having a cheerful disposition.,Yes
blue.03,depressing,1,"(informal) depressed, melancholic, sad.",
depressing,blue.03,1.0,"(informal) depressed, melancholic, sad.",Yes
blue.03,melancholic,1,"(informal) depressed, melancholic, sad.",
melancholic,blue.03,1.0,"(informal) depressed, melancholic, sad.",Yes
blue.03,sad,1,"(informal) depressed, melancholic, sad.",
sad,blue.03,1.0,"(informal) depressed, melancholic, sad.",Yes
blue.03,melancholy,1,"(of a person or mood) melancholy, sad, or depressed.",
melancholy,blue.03,1.0,"(of a person or mood) melancholy, sad, or depressed.",Yes
blue.03,sad,1,"(of a person or mood) melancholy, sad, or depressed.",
sad,blue.03,1.0,"(of a person or mood) melancholy, sad, or depressed.",Yes
blue.03,depressing,1,"(of a person or mood) melancholy, sad, or depressed.",
depressing,blue.03,1.0,"(of a person or mood) melancholy, sad, or depressed.",Yes
bright.09,high_prop,1,characterized by happiness or gladness,
high_prop,bright.09,1.0,characterized by happiness or gladness,Yes
bright.09,happy,1,"happy, in good spirits.",
happy,bright.09,1.0,"happy, in good spirits.",Yes
bright.09,cheerful,1,giving an appearance of cheerful liveliness.,
cheerful,bright.09,1.0,giving an appearance of cheerful liveliness.,Yes
buoyant.02,lighthearted,1,lighthearted and lively,
