Source,Relation,Word,WordNet Definition,Wikitionary Definition,Oxford Definition
quality,has_attribute,bad,having undesirable or negative qualities,Tricky; stressful; unpleasant.,"(of something causing pain, danger, or other unwelcome consequences) severe or serious"
bad,similar_tos,atrocious,exceptionally bad or displeasing,very bad; abominable or disgusting,of a very poor quality; extremely bad or unpleasant
atrocious,has_lemma,abominable,exceptionally bad or displeasing,Very bad or inferior.,very bad; terrible
atrocious,has_lemma,awful,exceptionally bad or displeasing,Very bad.,"used to emphasize the extent of something, especially something unpleasant or negative"
atrocious,has_lemma,dreadful,exceptionally bad or displeasing,Causing dread; bad.,"used to emphasize the degree to which something is the case, especially something regarded with sadness or disapproval"
atrocious,has_lemma,painful,exceptionally bad or displeasing,"Causing pain or distress, either physical or mental.",very bad
atrocious,has_lemma,terrible,exceptionally bad or displeasing,Very bad; lousy.,used to emphasize the extent of something unpleasant or bad
atrocious,has_lemma,unspeakable,exceptionally bad or displeasing,Extremely bad or objectionable.,too bad or horrific to express in words
bad,similar_tos,corked,(of wine) tainted in flavor by a cork containing excess tannin,"Of a container, especially a bottle, closed with a cork.",(of wine) spoilt by a musty taint arising from a fault in the cork
corked,has_lemma,corky,(of wine) tainted in flavor by a cork containing excess tannin,"Of wine, contaminated by a faulty or tainted cork.",resembling cork
bad,similar_tos,deplorable,bad; unfortunate,Deserving strong condemnation; shockingly bad.,shockingly bad in quality
deplorable,has_lemma,distressing,bad; unfortunate,Causing distress; upsetting,"causing anxiety, sorrow or pain; upsetting"
deplorable,has_lemma,lamentable,bad; unfortunate,"Causing sorrow, distress or regret; deplorable, pitiful or distressing.",(of circumstances or conditions) very bad; deplorable
deplorable,has_lemma,pitiful,bad; unfortunate,So appalling or sad that one feels or should feel sorry for it; eliciting pity.,very small or poor; inadequate
deplorable,has_lemma,sad,bad; unfortunate,"Poor in quality, bad; shameful, deplorable; later, regrettable, poor.",feeling or showing sorrow; unhappy
deplorable,has_lemma,sorry,bad; unfortunate,"Regretful for an action; grieved or saddened, especially by the loss of something or someone.",filled with compassion for
bad,similar_tos,fearful,extremely distressing,terrible,very great
fearful,has_lemma,frightful,extremely distressing,"Full of that which causes fright; exciting alarm; impressing terror; shocking; as, a frightful chasm, or tempest; a frightful appearance.","used for emphasis, especially of something bad"
bad,similar_tos,hard,unfortunate or hard to bear,", severe, harsh, unfriendly, brutal.",(of a person) not showing any signs of weakness; tough
hard,has_lemma,tough,unfortunate or hard to bear,rugged or physically hardy,able to endure hardship or pain
bad,similar_tos,hopeless,(informal to emphasize how bad it is) beyond hope of management or reform,Destitute of hope; having no expectation of good; despairing.,feeling or causing despair
bad,similar_tos,horrid,exceedingly bad,"offensive, disagreeable, abominable, execrable",causing horror
bad,similar_tos,icky,very bad,unpleasantly sticky; yucky; disgusting,unpleasantly sticky.
icky,has_lemma,crappy,very bad,Of very poor quality.,ill; unwell
icky,has_lemma,lousy,very bad,"Remarkably bad; of poor quality, dirty, or underhanded.",very poor or bad
icky,has_lemma,rotten,very bad,Bad or terrible.,very bad
icky,has_lemma,shitty,very bad,Very bad; unpleasant; miserable; insignificant.,(of an experience or situation) unpleasant; awful.
icky,has_lemma,stinking,very bad,Very bad and undesirable.,very bad or unpleasant
icky,has_lemma,stinky,very bad,"Having a strong, unpleasant smell; stinking.",having a strong or unpleasant smell
bad,similar_tos,ill,distressing,Extremely bad (bad enough to make one ill).  Generally used indirectly with to be.,suffering from an illness or disease or feeling unwell
bad,similar_tos,incompetent,not doing a good job,"Unskilled, lacking normally expected degree of ability.",not having or showing the necessary skills to do something successfully
incompetent,has_lemma,unskilled,not doing a good job,Of a person or workforce: not having a skill or technical training.,not having or requiring special skill or training
bad,similar_tos,mediocre,poor to middling in quality,"Ordinary: not extraordinary; not special, exceptional, or great; of medium quality;",of only average quality; not very good
bad,similar_tos,naughty,badly behaved,bad; tending to misbehave or act badly.,(especially of a child) badly behaved; disobedient
bad,similar_tos,negative,having the quality of something harmful or unpleasant,damaging; undesirable; unfavourable,"(of a person, attitude, or situation) not desirable or optimistic"
bad,similar_tos,poor,unsatisfactory,Of low quality.,of a low or inferior standard or quality
bad,similar_tos,pretty,(used ironically) unexpectedly bad,"Cunning; clever, skilful.","(of a person, especially a woman or child) attractive in a delicate way without being truly beautiful"
bad,similar_tos,rubber,returned for lack of funds,,
rubber,has_lemma,no-good,returned for lack of funds,"Having no value, use or merit",(of a person) contemptible; worthless
bad,similar_tos,severe,very bad in degree or extent,Very bad or intense.,"demanding great ability, skill, or resilience"
bad,similar_tos,swingeing,severe; punishingly bad,"powerful, scathing (a swingeing verbal attack)","severe or extreme in size, amount, or effect"
bad,similar_tos,uncool,(spoken slang) unfashionable and boring,"not in accord with the current fashion, standards or mores of a particular group; not cool",not fashionable or impressive
bad,similar_tos,unfavorable,not favorable,"Disadvantageous, adverse, unsuitable, inconducive; serving to hinder or oppose.",
unfavorable,has_lemma,unfavourable,not favorable,not approved of,expressing or showing a lack of approval or support
bad,similar_tos,unsuitable,not conducive to good moral development,Not suitable; unfit; inappropriate.,not fitting or appropriate
quality,has_attribute,good,having desirable or positive qualities especially those suitable for a thing specified,"Of food, edible; not stale or rotten.",skilled at doing or dealing with a specified thing
good,similar_tos,bang-up,very good,Especially good; wonderful; superb.,excellent
