Word,Variable,Factor,Definition,Deduced
cold,high_prop,-1.0,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,
high_prop,cold,-1.0,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,Yes
cold,high_prop,-1.0,having a low temperature.,
high_prop,cold,-1.0,having a low temperature.,Yes
algid,chilly,1,chilly,
chilly,algid,1.0,chilly,Yes
algid,cold,1,"cold, chilly",
cold,algid,1.0,"cold, chilly",Yes
algid,chilly,1,"cold, chilly",
chilly,algid,1.0,"cold, chilly",Yes
algid,high_prop,-1.0,used of low body temperature especially in connection with certain diseases such as malaria and cholera.,
high_prop,algid,-1.0,used of low body temperature especially in connection with certain diseases such as malaria and cholera.,Yes
algid,cold,1,"cold, chilly",
cold,algid,1.0,"cold, chilly",Yes
algid,chilly,1,"cold, chilly",
chilly,algid,1.0,"cold, chilly",Yes
algid,frigid,1,frigid.,
frigid,algid,1.0,frigid.,Yes
arctic,cold,1.4,extremely cold,
cold,arctic,0.7142857142857143,extremely cold,Yes
arctic,cold,1.4,"being extremely cold, snowy, or having other properties of extreme winter associated with the arctic.",
cold,arctic,0.7142857142857143,"being extremely cold, snowy, or having other properties of extreme winter associated with the arctic.",Yes
arctic,cold,1.4,(of weather conditions) very cold,
cold,arctic,0.7142857142857143,(of weather conditions) very cold,Yes
frigid,cold,1.4,extremely cold,
cold,frigid,0.7142857142857143,extremely cold,Yes
frigid,cold,1.4,very cold,
cold,frigid,0.7142857142857143,very cold,Yes
frigid,high_prop,1,lacking warmth,
high_prop,frigid,1.0,lacking warmth,Yes
frigid,high_prop,1,very cold in temperature,
high_prop,frigid,1.0,very cold in temperature,Yes
frigid,cold,1.4,very cold in temperature,
cold,frigid,0.7142857142857143,very cold in temperature,Yes
gelid,cold,1.4,extremely cold,
cold,gelid,0.7142857142857143,extremely cold,Yes
gelid,cold,1.4,very cold,
cold,gelid,0.7142857142857143,very cold,Yes
gelid,icy,1,icy or frosty.,
icy,gelid,1.0,icy or frosty.,Yes
gelid,frosty,1,icy or frosty.,
frosty,gelid,1.0,icy or frosty.,Yes
gelid,icy,1,icy,
icy,gelid,1.0,icy,Yes
gelid,cold,1.4,extremely cold,
cold,gelid,0.7142857142857143,extremely cold,Yes
glacial,cold,1.4,extremely cold,
cold,glacial,0.7142857142857143,extremely cold,Yes
glacial,cold,1,cold and icy,
cold,glacial,1.0,cold and icy,Yes
glacial,icy,1,cold and icy,
icy,glacial,1.0,cold and icy,Yes
glacial,cold,1.4,very cold,
cold,glacial,0.7142857142857143,very cold,Yes
glacial,icy,1,icy,
icy,glacial,1.0,icy,Yes
icy,cold,1.4,extremely cold,
cold,icy,0.7142857142857143,extremely cold,Yes
icy,cold,1,cold,
cold,icy,1.0,cold,Yes
icy,frosty,1,frosty.,
frosty,icy,1.0,frosty.,Yes
icy,cold,1.4,very cold,
cold,icy,0.7142857142857143,very cold,Yes
polar,cold,1.4,extremely cold,
cold,polar,0.7142857142857143,extremely cold,Yes
bleak,cold,1,unpleasantly cold and damp,
cold,bleak,1.0,unpleasantly cold and damp,Yes
bleak,cold,1,swept by cold winds.,
cold,bleak,1.0,swept by cold winds.,Yes
bleak,cold,1,(of the weather) cold and miserable,
cold,bleak,1.0,(of the weather) cold and miserable,Yes
cutting,cold,1,unpleasantly cold and damp,
cold,cutting,1.0,unpleasantly cold and damp,Yes
